Time, BT20, BT20, Pol, BLE2
02/23/2017 10:43:45,0,0,98,0
02/23/2017 10:43:46,0,0,100,0
02/23/2017 10:43:47,0,0,102,0
02/23/2017 10:43:48,0,0,104,0
02/23/2017 10:43:49,0,0,105,0
02/23/2017 10:43:50,0,0,106,0
02/23/2017 10:43:51,0,0,107,0
02/23/2017 10:43:52,0,0,107,0
02/23/2017 10:43:53,0,0,107,0
02/23/2017 10:43:54,0,0,107,0
02/23/2017 10:43:55,0,0,106,0
02/23/2017 10:43:56,0,0,105,0
02/23/2017 10:43:57,0,0,105,0
02/23/2017 10:43:58,0,0,104,0
02/23/2017 10:43:59,0,0,103,0
02/23/2017 10:44:00,0,0,103,0
02/23/2017 10:44:01,0,0,101,0
02/23/2017 10:44:02,0,0,101,0
02/23/2017 10:44:03,0,0,101,0
02/23/2017 10:44:04,0,0,102,0
02/23/2017 10:44:05,0,0,102,0
02/23/2017 10:44:06,0,0,102,0
02/23/2017 10:44:07,0,0,101,0
02/23/2017 10:44:08,0,0,100,0
02/23/2017 10:44:09,0,0,99,0
02/23/2017 10:44:10,0,0,98,0
02/23/2017 10:44:11,0,0,97,0
02/23/2017 10:44:12,0,0,96,0
02/23/2017 10:44:13,0,0,96,0
02/23/2017 10:44:14,0,0,96,0
02/23/2017 10:44:15,0,0,97,0
02/23/2017 10:44:16,0,0,97,0
02/23/2017 10:44:17,0,0,96,0
02/23/2017 10:44:18,0,0,95,0
02/23/2017 10:44:19,0,0,95,0
02/23/2017 10:44:20,0,0,94,0
02/23/2017 10:44:21,0,0,94,0
02/23/2017 10:44:22,0,0,93,0
02/23/2017 10:44:23,0,0,92,0
02/23/2017 10:44:24,0,0,91,0
02/23/2017 10:44:25,0,0,91,0
02/23/2017 10:44:26,0,0,92,0
02/23/2017 10:44:27,0,0,92,0
02/23/2017 10:44:28,0,0,90,0
02/23/2017 10:44:29,0,0,90,0
02/23/2017 10:44:30,0,0,88,0
02/23/2017 10:44:31,0,0,87,0
02/23/2017 10:44:32,0,0,85,0
02/23/2017 10:44:33,0,0,84,0
02/23/2017 10:44:34,0,0,82,0
02/23/2017 10:44:35,0,0,82,0
02/23/2017 10:44:36,0,0,82,0
02/23/2017 10:44:37,0,0,82,0
02/23/2017 10:44:38,0,0,84,0
02/23/2017 10:44:39,0,0,85,0
02/23/2017 10:44:40,0,0,86,0
02/23/2017 10:44:41,0,0,86,0
02/23/2017 10:44:42,0,0,86,0
02/23/2017 10:44:43,0,0,86,0
02/23/2017 10:44:44,0,0,84,0
02/23/2017 10:44:45,0,0,83,0
02/23/2017 10:44:46,0,0,83,0
