0,771745,-7791,2322,2401,373626260,-8251,2136,2293,373626268,-8673,2254,2175,373626276,12345,1487238945
9,388367,8373801,8362538,8373822,8362537,8373854,8362541,8373905,8362543,8373892,8362538,8373841,8362537,12345,1487238945
9,388368,8373780,8362541,8373712,8362540,8373674,8362539,8373557,8362537,8373476,8362543,8373436,8362544,12345,1487238945
9,388369,8373357,8362540,8373255,8362539,8373163,8362542,8373078,8362541,8373025,8362537,8372901,8362537,12345,1487238945
9,388370,8372811,8362542,8372764,8362543,8372683,8362540,8372591,8362537,8372514,8362540,8372453,8362543,12345,1487238945
22,0,152,537859843,373626206,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,1487238945
22,0,152,1629202435,373626206,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,1487238945
0,771746,-9055,2704,2097,373626284,-9359,3165,1871,373626293,-9702,3626,1558,373626302,12345,1487238945
0,771747,-9858,4272,1372,373626311,-9819,4890,1332,373626320,-9515,5380,1146,373626329,12345,1487238945
0,771748,-8976,5733,1146,373626338,-8251,5801,1293,373626347,-7408,5733,1489,373626356,12345,1487238945
0,771749,-6683,5654,1793,373626365,-6076,5693,2097,373626374,-5419,6036,2361,373626383,12345,1487238945
0,771750,-4733,6879,2518,373626392,-3929,8055,2783,373626401,-3204,9702,3087,373626410,12345,1487238945
0,771751,-2597,12191,3704,373626419,-2214,15778,4586,373626428,-1754,20217,5880,373626437,12345,1487238945
0,771752,-568,24647,7026,373626446,1372,28008,7565,373626455,3782,30644,7751,373626464,12345,1487238945
0,771753,6683,32898,7830,373626473,10201,34966,8369,373626482,12838,37181,9515,373626491,12345,1487238945
9,388371,8372430,8362538,8372343,8362538,8372292,8362542,8372296,8362539,8372274,8362541,8372243,8362536,12345,1487238945
9,388372,8372236,8362542,8372251,8362544,8372306,8362539,8372297,8362537,8372326,8362543,8372409,8362543,12345,1487238945
9,388373,8372461,8362542,8372506,8362539,8372565,8362543,8372628,8362540,8372730,8362540,8372760,8362538,12345,1487238945
9,388374,8372830,8362543,8372963,8362542,8373066,8362537,8373146,8362538,8373224,8362544,8373307,8362542,12345,1487238945
0,771754,14023,37681,8173,373626500,13259,39327,9398,373626509,12838,37945,8290,373626517,12345,1487238945
0,771755,12377,35427,7908,373626525,12681,32830,7604,373626533,12955,30223,7222,373626541,12345,1487238945
0,771756,12916,27479,6987,373626549,12642,24568,6722,373626557,12259,21814,6262,373626565,12345,1487238945
0,771757,11809,19335,5419,373626573,11348,16816,4272,373626581,10887,14366,3322,373626589,12345,1487238945
0,771758,10505,11809,2293,373626597,10084,9359,1411,373626605,9584,7144,793,373626613,12345,1487238946
0,771759,9094,5272,147,373626621,8673,3704,-646,373626629,8173,2401,-1332,373626637,12345,1487238946
0,771760,7673,1293,-1911,373626645,7065,382,-2479,373626653,6458,-382,-2361,373626661,12345,1487238946
0,771761,7222,-2175,-3508,373626669,6458,-2704,-3126,373626677,6458,-4047,-3322,373626685,12345,1487238946
0,771762,6458,-5380,-3547,373626693,5801,-6458,-4615,373626701,4998,-6909,-5115,373626709,12345,1487238946
9,388375,8373421,8362537,8373458,8362538,8373522,8362540,8373624,8362541,8373688,8362537,8373727,8362535,12345,1487238946
9,388376,8373771,8362542,8373816,8362541,8373884,8362537,8373861,8362536,8373847,8362542,8373859,8362542,12345,1487238946
9,388377,8373805,8362536,8373706,8362537,8373596,8362541,8373471,8362543,8373369,8362537,8373179,8362541,12345,1487238946
9,388378,8373015,8362542,8372900,8362542,8372760,8362538,8372619,8362538,8372508,8362543,8372419,8362540,12345,1487238946
0,771763,4272,-6683,-5419,373626717,4125,-5997,-5576,373626725,4547,-5037,-4998,373626733,12345,1487238946
0,771764,5380,-4390,-4390,373626741,6115,-4312,-3626,373626749,6379,-4547,-2783,373626757,12345,1487238946
0,771765,6301,-4586,-2254,373626765,6340,-4272,-1832,373626773,6526,-3547,-1558,373626781,12345,1487238946
0,771766,7065,-2518,-1254,373626789,7712,-1293,-1107,373626797,8594,264,-686,373626805,12345,1487238946
0,771767,10005,2440,-343,373626813,12299,5733,68,373626821,15699,10201,-1940,373626829,12345,1487238946
0,771768,19374,16699,-1029,373626837,22657,23882,2214,373626845,23804,28047,5762,373626853,12345,1487238946
0,771769,22050,28508,9016,373626861,21511,28929,10045,373626869,23422,29194,10809,373626877,12345,1487238946
0,771770,24000,29272,11309,373626885,21246,29537,10770,373626893,17689,29615,9702,373626901,12345,1487238946
9,388379,8372385,8362536,8372291,8362538,8372241,8362544,8372253,8362543,8372238,8362539,8372222,8362536,12345,1487238946
9,388380,8372234,8362540,8372264,8362540,8372340,8362539,8372353,8362537,8372408,8362545,8372510,8362540,12345,1487238946
9,388381,8372583,8362538,8372652,8362537,8372736,8362541,8372842,8362542,8372989,8362538,8373069,8362538,12345,1487238946
9,388382,8373191,8362542,8373355,8362541,8373475,8362538,8373563,8362537,8373646,8362542,8373728,8362543,12345,1487238946
0,771771,15092,28812,8712,373626909,13181,27400,8026,373626917,11534,25950,7448,373626925,12345,1487238946
0,771772,9898,25029,7291,373626933,8555,24078,7105,373626941,7261,22892,6987,373626949,12345,1487238946
0,771773,6183,21364,6879,373626957,5272,19678,6722,373626965,4390,18071,6419,373626973,12345,1487238946
0,771774,3400,16660,5958,373626981,2254,15317,5380,373626989,1029,13827,4694,373626997,12345,1487238946
0,771775,-186,12259,4086,373627005,-1293,10701,3586,373627013,-2322,9319,3204,373627021,12345,1487238946
0,771776,-3322,8330,3165,373627029,-4165,7448,2704,373627037,-4468,5840,2440,373627045,12345,1487238946
0,771777,-5733,6379,2900,373627053,-6115,6223,2704,373627061,-6605,6262,2704,373627069,12345,1487238946
0,771778,-7222,6458,2440,373627077,-7830,6683,2058,373627085,-8594,6879,1715,373627093,12345,1487238946
9,388383,8373839,8362540,8373854,8362539,8373886,8362543,8373948,8362543,8373953,8362537,8373932,8362538,12345,1487238946
9,388384,8373899,8362541,8373865,8362541,8373851,8362539,8373760,8362537,8373696,8362543,8373671,8362541,12345,1487238946
9,388385,8373606,8362539,8373512,8362535,8373421,8362542,8373329,8362541,8373268,8362537,8373124,8362536,12345,1487238946
9,388386,8373006,8362542,8372931,8362538,8372828,8362538,8372715,8362537,8372621,8362543,8372541,8362540,12345,1487238946
0,771779,-9398,7105,1450,373627101,-10201,7026,1372,373627109,-10809,6722,1293,373627117,12345,1487238946
0,771780,-11191,6379,1411,373627125,-11191,6036,1636,373627133,-10809,5840,2058,373627141,12345,1487238946
0,771781,-9966,5733,2636,373627149,-9016,5801,3057,373627157,-8055,6262,3439,373627165,12345,1487238946
0,771782,-7222,7026,3586,373627173,-6566,8251,3665,373627181,-6076,10084,3439,373627189,12345,1487238946
0,771783,-5801,12642,3508,373627197,-5615,16503,4429,373627205,-4968,22393,5958,373627213,12345,1487238946
0,771784,-2861,28312,7369,373627221,764,32065,8408,373627229,5115,34045,9094,373627237,12345,1487238946
0,771785,10388,35084,9819,373627245,15817,34701,9241,373627253,19217,34280,10280,373627261,12345,1487238946
0,771786,19560,32212,9515,373627269,16885,30037,8898,373627277,14288,27018,7712,373627285,12345,1487238946
0,771787,13102,23843,7183,373627293,12642,21089,7026,373627301,11877,19031,6879,373627309,12345,1487238946
9,388387,8372509,8362537,8372411,8362538,8372354,8362542,8372348,8362541,8372319,8362537,8372283,8362537,12345,1487238946
9,388388,8372268,8362541,8372276,8362540,8372326,8362538,8372313,8362538,8372334,8362544,8372411,8362543,12345,1487238946
9,388389,8372451,8362540,8372483,8362537,8372532,8362540,8372590,8362540,8372685,8362538,8372709,8362539,12345,1487238946
9,388390,8372772,8362544,8372897,8362540,8373009,8362537,8373117,8362537,8373241,8362542,8373355,8362541,12345,1487238946
9,388391,8373501,8362539,8373560,8362535,8373641,8362541,8373762,8362541,8373837,8362539,8373891,8362537,12345,1487238946
22,0,152,806301443,373627207,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,1487238946
22,0,152,1629202435,373627207,12345,12345,12345,12345,12345,12345,12345,12345,12345,12345,1487238946
0,771788,10848,17463,6722,373627317,9937,16052,6419,373627325,9172,14788,5958,373627333,12345,1487238946
0,771789,8633,13641,5350,373627341,8212,12759,4655,373627349,7869,11995,4047,373627357,12345,1487238946
0,771790,7565,11044,3469,373627365,7183,10084,3165,373627373,6948,8820,2479,373627381,12345,1487238946
0,771791,6566,7712,2293,373627389,6379,6566,1871,373627397,6115,5615,1558,373627405,12345,1487238946
0,771792,5801,4968,1411,373627413,5458,4547,1411,373627421,5233,4508,1372,373627429,12345,1487238946
0,771793,5154,4772,1293,373627437,5233,5272,1293,373627445,5380,5997,1372,373627453,12345,1487238946
0,771794,5693,6879,1372,373627461,6076,7673,1372,373627469,6419,8094,1107,373627477,12345,1487238946
0,771795,6566,7947,793,373627485,6605,7673,607,373627493,6801,7448,529,373627501,12345,1487238946
9,388392,8373954,8362539,8374021,8362540,8374126,8362537,8374150,8362540,8374209,8362544,8374313,8362542,12345,1487238946
9,388393,8374371,8362541,8374393,8362536,8374401,8362543,8374389,8362541,8374385,8362535,8374277,8362539,12345,1487238946
9,388394,8374185,8362542,8374122,8362543,8374020,8362539,8373895,8362536,8373788,8362543,8373694,8362541,12345,1487238946
9,388395,8373644,8362540,8373531,8362541,8373461,8362542,8373449,8362542,8373406,8362539,8373359,8362539,12345,1487238946
0,771796,7183,7291,382,373627509,7751,7183,382,373627517,8477,7144,343,373627525,12345,1487238946
0,771797,9172,7261,147,373627533,9623,7144,-68,373627541,9858,6987,-450,373627549,12345,1487238946
0,771798,9937,6762,-793,373627557,9819,6722,-1176,373627565,9584,6722,-1558,373627573,12345,1487238946
0,771799,9172,6801,-1754,373627581,8555,6840,-1675,373627589,7908,7065,-1372,373627597,12345,1487238946
0,771800,7222,7487,-950,373627605,6683,7987,-607,373627613,6340,7987,-186,373627621,12345,1487238947
0,771801,6262,7908,68,373627629,6497,7791,382,373627637,6987,7712,490,373627645,12345,1487238947
0,771802,7644,7604,450,373627653,8330,7291,303,373627661,8937,7026,147,373627669,12345,1487238947
0,771803,9437,6909,-29,373627677,10005,6987,-68,373627685,10701,7408,-68,373627693,12345,1487238947
9,388396,8373330,8362541,8373327,8362542,8373362,8362536,8373335,8362538,8373342,8362542,8373405,8362542,12345,1487238947
9,388397,8373435,8362539,8373456,8362537,8373491,8362540,8373538,8362541,8373622,8362538,8373623,8362537,12345,1487238947
9,388398,8373657,8362543,8373731,8362542,8373758,8362540,8373763,8362538,8373780,8362542,8373803,8362542,12345,1487238947
9,388399,8373863,8362537,8373850,8362539,8373868,8362545,8373937,8362541,8373973,8362541,8373994,8362538,12345,1487238947
0,771804,11309,7908,0,373627701,11916,8477,107,373627709,12377,8898,303,373627717,12345,1487238947
0,771805,12612,9055,646,373627725,12720,9437,950,373627733,12720,9662,1215,373627741,12345,1487238947
0,771806,12416,9280,1372,373627749,11848,8790,1411,373627757,11466,8516,1146,373627765,12345,1487238947
0,771807,11348,8633,793,373627773,11387,8477,607,373627781,11495,8633,872,373627789,12345,1487238947
0,771808,11691,9319,1029,373627797,11730,9702,1176,373627805,11613,9662,1372,373627813,12345,1487238947
0,771809,11534,9662,1528,373627821,11848,10005,1911,373627829,12642,10544,2175,373627837,12345,1487238947
0,771810,13759,10927,2401,373627845,14935,11270,2675,373627853,16013,11652,3057,373627861,12345,1487238947
0,771811,16699,11995,3469,373627869,16660,12073,3969,373627877,16013,12034,4204,373627885,12345,1487238947
9,388400,8374038,8362541,8374091,8362541,8374186,8362539,8374206,8362535,8374261,8362543,8374363,8362542,12345,1487238947
9,388401,8374412,8362536,8374426,8362535,8374432,8362540,8374422,8362540,8374425,8362538,8374334,8362539,12345,1487238947
9,388402,8374260,8362543,8374222,8362541,8374142,8362538,8374041,8362537,8373951,8362541,8373875,8362541,12345,1487238947
9,388403,8373835,8362540,8373729,8362539,8373659,8362543,8373642,8362541,8373593,8362539,8373529,8362535,12345,1487238947
0,771812,15474,11730,4351,373627893,15288,11387,4468,373627901,15552,11083,4468,373627909,12345,1487238947
0,771813,16052,10701,4429,373627917,16356,10045,4547,373627925,16356,9094,4851,373627933,12345,1487238947
